id;option_type;option_code;option_text
1;temperaturas;tmin;temperatura minima
2;temperaturas;tmax;temperatura maxima
3;temperaturas;tmed;temperatura media
4;year;1950;1950
5;year;1951;1951
6;year;1952;1952
7;year;1953;1953
8;year;1954;1954
9;year;1955;1955
10;year;1956;1956
11;year;1957;1957
12;year;1958;1958
13;year;1959;1959
14;year;1960;1960
15;year;1961;1961
16;year;1962;1962
17;year;1963;1963
18;year;1964;1964
19;year;1965;1965
20;year;1966;1966
21;year;1967;1967
22;year;1968;1968
23;year;1969;1969
24;year;1970;1970
25;year;1971;1971
26;year;1972;1972
27;year;1973;1973
28;year;1974;1974
29;year;1975;1975
30;year;1976;1976
31;year;1977;1977
32;year;1978;1978
33;year;1979;1979
34;year;1980;1980
35;year;1981;1981
36;year;1982;1982
37;year;1983;1983
38;year;1984;1984
39;year;1985;1985
40;year;1986;1986
41;year;1987;1987
42;year;1988;1988
43;year;1989;1989
44;year;1990;1990
45;year;1991;1991
46;year;1992;1992
47;year;1993;1993
48;year;1994;1994
49;year;1995;1995
50;year;1996;1996
51;year;1997;1997
52;year;1998;1998
53;year;1999;1999
54;year;2000;2000
55;year;2001;2001
56;year;2002;2002
57;year;2003;2003
58;year;2004;2004
59;year;2005;2005
60;year;2006;2006
61;year;2007;2007
62;year;2008;2008
63;year;2009;2009
64;year;2010;2010
65;year;2011;2011
66;agua;quality;quality
67;agua;quantity;quantity
68;ecological river flow;ecological river flow;(m3/s)
69;Maximun flow;Maximun flow;(m3/s)
70;Reservoir capacity;Reservoir capacity;(m3/s)
71;net falling height or head;net falling height or head;(m)
72;Number of turbines;Number of turbines;
73;Type of turbines;Pelton;Pelton
74;Type of turbines;FrancisHighSpeed;FrancisHighSpeed
75;Type of turbines;FrancisLowSpeed ;FrancisLowSpeed 
76;Type of turbines;Kaplan;Kaplan
